Country,GDP,Inflation Rate,Unemployment Rate,Interest Rate,Exchange Rate,Stock Market Index,Labor Force Participation Rate,Government Debt,Trade Balance
Burundi,Franc,4.91,23.54,7.63,6.4567,9117.14,44.91,Real,Dollar
Thailand,Baht,-4.02,11.0,15.92,8.2804,2785.6,39.67,Rial,Krone
China,Yuan Renminbi,3.9,24.53,9.22,6.615,4922.27,73.45,Ruble,Yuan Renminbi
Panama,Balboa,6.4,10.14,15.11,5.5432,2869.6,40.52,Hryvnia,Real
Venezuela,Bolivar,-5.24,14.97,5.16,4.6366,2018.91,74.73,Rupiah,Yuan Renminbi
Philippines,Peso,6.79,18.16,18.09,2.2588,1835.74,22.23,Yuan Renminbi,Franc
Ethiopia,Birr,-7.39,5.42,9.35,0.5084,8320.22,62.82,Krona,Yuan Renminbi
Indonesia,Rupiah,4.61,11.14,14.19,6.9033,5264.98,23.57,Rupiah,Peso
Philippines,Peso,-3.57,4.88,16.25,2.1505,4340.77,86.3,Cordoba,Rupee
Argentina,Peso,-6.68,14.19,0.22,8.1087,4230.46,23.44,Ruble,Euro
Thailand,Baht,-2.53,6.47,10.56,5.1519,8570.74,88.52,Euro,Koruna
Uruguay,Peso,-8.63,24.02,3.28,7.9094,4167.83,9.87,Peso,Sol
Syria,Pound,-6.49,25.06,10.9,1.4553,3449.96,78.24,Won,Yuan Renminbi
China,Yuan Renminbi,-6.96,19.22,8.09,6.6181,1486.3,63.25,Peso,Rupiah
Croatia,Kuna,1.6,15.35,8.66,5.3516,1592.14,47.83,Peso,Dollar
Philippines,Peso,1.23,21.68,14.69,6.6512,8150.39,15.34,Euro,Rupiah
Russia,Ruble,8.29,18.56,15.73,9.1544,5404.56,94.18,Euro,Euro
Philippines,Peso,2.73,19.62,2.32,9.764,4149.73,20.46,Yuan Renminbi,Peso
Niger,Franc,-4.26,27.32,6.32,6.473,5157.03,50.89,Lev,Peso
Poland,Zloty,-0.05,17.47,14.95,9.5612,7504.32,84.71,Peso,Real
China,Yuan Renminbi,3.24,12.83,18.17,9.7019,909.66,97.41,Kuna,Euro
Tanzania,Shilling,8.95,25.28,8.58,9.2669,8365.52,1.58,Rupiah,Rupiah
Greece,Euro,-6.72,26.29,18.69,8.2164,4189.2,4.61,Yuan Renminbi,Zloty
Russia,Ruble,-5.55,7.33,9.59,8.6856,8547.33,28.34,Real,Yuan Renminbi
Argentina,Peso,5.04,13.64,9.36,4.8587,91.75,29.27,Ruble,Euro
Philippines,Peso,8.63,25.65,14.44,1.1898,5002.66,96.62,Rupiah,Shekel
Brazil,Real,-6.09,3.9,0.72,6.169,2030.42,8.73,Real,Yuan Renminbi
China,Yuan Renminbi,4.45,12.9,16.42,6.9996,4273.83,88.1,Dirham,Dong
China,Yuan Renminbi,8.75,3.27,5.92,9.1136,3693.52,39.58,Real,Yuan Renminbi
Sri Lanka,Rupee,7.66,18.36,7.04,3.5687,851.7,46.08,Peso,Dollar
Peru,Sol,-6.04,5.75,2.66,0.4367,7347.81,44.17,Shekel,Manat
New Zealand,Dollar,0.88,28.37,19.59,4.0334,442.08,4.2,Yuan Renminbi,Shilling
Canada,Dollar,0.56,19.33,12.56,5.8813,2051.78,46.3,Yuan Renminbi,Hryvnia
Austria,Euro,3.7,12.81,7.48,9.855,1546.67,20.69,Rupiah,Rupee
Kazakhstan,Tenge,1.94,22.18,6.61,0.2678,291.84,96.83,Krona,Ruble
Brazil,Real,9.75,1.72,14.88,0.1594,4254.25,7.37,Peso,Peso
China,Yuan Renminbi,-6.11,22.95,12.47,4.9831,1998.11,44.71,Lempira,Ruble
Madagascar,Ariary,-8.7,6.91,10.05,4.9217,239.02,99.54,Balboa,Yuan Renminbi
French Polynesia,Franc,-5.13,5.58,11.36,0.1436,4692.11,94.02,Zloty,Yuan Renminbi
China,Yuan Renminbi,7.91,11.69,1.34,2.0481,913.51,63.38,Rupiah,Rupiah
Indonesia,Rupiah,-2.09,12.73,2.19,8.3764,8132.04,55.78,Euro,Yuan Renminbi
Colombia,Peso,1.02,12.85,8.62,7.6863,632.33,40.91,Ruble,Franc
South Africa,Rand,6.72,3.83,14.47,1.5335,232.03,7.88,Euro,Peso
China,Yuan Renminbi,-0.99,14.57,12.27,5.3532,286.34,56.71,Krona,Peso
China,Yuan Renminbi,1.8,0.47,15.04,7.8878,3632.08,49.72,Ruble,Lek
Sweden,Krona,6.98,26.75,15.26,1.3693,8172.94,36.17,Krone,Rupiah
France,Euro,-4.01,22.72,3.08,9.8599,8001.98,37.38,Peso,Euro
Canada,Dollar,-9.26,5.78,17.78,8.2446,8809.55,48.11,Dirham,Dollar
China,Yuan Renminbi,-1.33,3.07,2.98,4.5183,3653.36,97.33,Peso,Real
China,Yuan Renminbi,7.78,23.02,11.41,9.8843,6107.27,99.99,Taka,Kuna
Kyrgyzstan,Som,1.71,28.0,19.6,7.6666,7461.9,1.18,Rupiah,Euro
China,Yuan Renminbi,8.59,14.37,19.0,1.6841,8873.96,75.5,Manat,Yuan Renminbi
Syria,Pound,-3.97,24.45,16.25,1.8426,3972.92,92.83,Rupiah,Peso
Philippines,Peso,-1.53,1.2,14.45,8.0412,3077.32,92.36,Rupiah,Real
Pakistan,Rupee,1.79,25.48,19.66,8.515,2337.28,64.44,Yuan Renminbi,Ruble
Indonesia,Rupiah,2.92,7.94,16.38,5.1084,311.85,33.05,Peso,Peso
Philippines,Peso,8.4,14.82,1.12,7.4683,8194.03,24.78,Real,Yuan Renminbi
Russia,Ruble,4.63,23.22,8.22,5.3886,123.37,98.35,Euro,Peso
China,Yuan Renminbi,-8.57,0.14,1.19,1.257,4086.45,98.63,Rupiah,Dollar
Greece,Euro,-1.06,28.67,18.06,9.8468,5794.79,71.72,Euro,Dong
Poland,Zloty,-8.38,22.06,3.01,0.2541,9298.3,10.54,Rupiah,Peso
South Africa,Rand,7.45,19.43,3.75,1.6263,9815.01,77.53,Balboa,Koruna
Philippines,Peso,7.69,18.19,9.15,2.9167,4463.26,55.82,Euro,Kuna
Poland,Zloty,1.01,13.4,18.72,3.1222,5674.49,83.31,Rupiah,Euro
Indonesia,Rupiah,-8.31,13.05,18.77,5.9087,3191.85,66.42,Peso,Guarani
China,Yuan Renminbi,8.12,24.27,4.61,8.4916,8952.74,1.17,Sol,Yuan Renminbi
Sweden,Krona,5.84,7.66,12.97,9.198,7215.66,41.62,Dong,Franc
Argentina,Peso,5.28,6.93,0.36,0.3524,312.35,98.62,Yuan Renminbi,Euro
China,Yuan Renminbi,-9.15,21.95,11.48,0.0165,2139.6,14.03,Kyat,Yuan Renminbi
Portugal,Euro,-4.04,0.04,8.68,7.5329,173.72,26.51,Rupiah,Dollar
Ukraine,Hryvnia,4.21,8.34,1.53,3.4337,8140.04,90.61,Dram,Peso
China,Yuan Renminbi,9.72,9.04,2.34,2.2692,3252.58,77.55,Yuan Renminbi,Yuan Renminbi
Venezuela,Bolivar,7.78,25.41,1.83,4.5858,151.35,84.82,Peso,Peso
Thailand,Baht,-6.01,2.54,13.03,4.6604,8112.84,38.7,Yuan Renminbi,Yuan Renminbi
Moldova,Leu,5.39,5.8,16.89,3.9114,5587.87,25.16,Real,Yuan Renminbi
China,Yuan Renminbi,0.25,21.73,3.74,0.952,7261.99,78.6,Ruble,Dong
Canada,Dollar,-5.6,0.63,11.61,9.3636,4203.16,17.89,Dinar,Real
Bulgaria,Lev,-3.8,2.79,4.37,3.7577,3015.39,79.05,Yuan Renminbi,Yuan Renminbi
Norway,Krone,-4.4,28.23,3.95,5.7748,9751.65,91.2,Rial,Euro
Poland,Zloty,4.68,2.37,17.04,6.5477,8233.6,25.03,Dollar,Euro
Thailand,Baht,-3.27,15.99,11.95,7.7923,9759.37,77.69,Euro,Ringgit
Indonesia,Rupiah,5.94,25.82,6.86,2.4313,7233.15,55.04,Dollar,Rupiah
China,Yuan Renminbi,-2.22,8.45,18.25,2.2585,9526.31,37.57,Peso,Peso
Kazakhstan,Tenge,4.48,2.29,12.47,7.4076,1346.08,80.31,Euro,Ruble
Anguilla,Dollar,-4.56,26.32,6.26,9.0554,4331.54,5.49,Hryvnia,Yen
Philippines,Peso,-1.28,13.45,7.39,6.6314,6760.92,64.98,Ruble,Euro
Slovenia,Euro,-6.03,21.74,18.85,9.6001,2193.33,18.33,Peso,Real
Sweden,Krona,0.66,11.94,16.74,6.8925,2717.86,45.81,Dong,Peso
China,Yuan Renminbi,-6.77,3.18,3.32,7.9842,4762.65,91.21,Yuan Renminbi,Yuan Renminbi
Sweden,Krona,-3.26,26.55,10.86,6.9226,4441.29,58.3,Rupee,Ruble
Brazil,Real,-3.38,13.82,18.71,8.0717,4840.84,6.38,Yuan Renminbi,Yuan Renminbi
Martinique,Euro,2.71,8.66,17.48,9.4979,5739.57,22.76,Tugrik,Krone
South Africa,Rand,-4.7,20.09,17.31,3.9487,63.9,47.43,Rupiah,Rupiah
China,Yuan Renminbi,-5.41,25.76,0.1,4.3221,2527.03,10.45,Rupiah,Ringgit
Russia,Ruble,-4.96,10.29,7.85,3.7432,6978.58,17.47,Euro,Euro
China,Yuan Renminbi,2.52,18.24,7.99,9.4216,3940.46,1.37,Rupiah,Euro
China,Yuan Renminbi,-2.81,8.5,7.75,0.6356,257.86,57.19,Ruble,Lek
Sweden,Krona,-8.83,16.55,18.7,0.9147,6233.31,14.75,Euro,Ruble
Russia,Ruble,7.36,6.3,7.47,2.3721,7680.44,48.65,Yuan Renminbi,Yuan Renminbi
France,Euro,3.73,23.53,1.26,3.6236,1879.2,3.06,Kuna,Euro
Ukraine,Hryvnia,5.06,7.89,4.93,3.0066,5258.08,29.29,Peso,Peso
Russia,Ruble,-4.91,28.07,10.24,0.7652,8607.54,64.89,Peso,Real
Israel,Shekel,7.49,28.8,16.42,9.038,59.46,74.74,Ringgit,Rupiah
Nigeria,Naira,0.51,13.14,11.66,6.8166,1204.52,17.52,Dollar,Rupiah
Vietnam,Dong,-7.95,27.08,10.38,6.4772,2764.19,59.11,Ruble,Euro
China,Yuan Renminbi,9.59,13.79,7.66,4.3161,9337.42,70.15,Yen,Real
Venezuela,Bolivar,5.35,16.58,17.69,3.0855,5907.72,68.29,Rupiah,Rupiah
Armenia,Dram,-8.45,5.2,15.95,6.2211,9865.78,97.84,Krona,Yuan Renminbi
Philippines,Peso,1.94,19.65,7.53,4.4985,2159.97,24.7,Yuan Renminbi,Shekel
China,Yuan Renminbi,6.82,6.65,12.95,9.2245,73.01,37.11,Yuan Renminbi,Yuan Renminbi
China,Yuan Renminbi,-8.63,26.31,12.9,4.4013,1958.23,48.74,Yuan Renminbi,Kuna
Brazil,Real,-1.18,12.23,0.37,7.2087,779.33,40.93,Ruble,Yuan Renminbi
China,Yuan Renminbi,-5.39,22.28,8.07,1.0254,8268.73,31.0,Euro,Yuan Renminbi
Philippines,Peso,5.19,20.08,3.59,4.1086,1902.07,79.45,Naira,Yuan Renminbi
Russia,Ruble,-5.67,9.19,11.58,3.7386,4213.75,15.61,Bolivar,Yuan Renminbi
Bolivia,Boliviano,-6.25,9.26,5.6,3.135,8880.65,88.49,Euro,Yuan Renminbi
Mexico,Peso,-8.3,12.5,19.15,6.4357,3647.04,89.54,Krone,Dinar
China,Yuan Renminbi,-1.76,22.74,5.57,4.5616,6916.43,4.4,Dram,Yuan Renminbi
Colombia,Peso,2.33,25.86,10.1,2.3135,69.6,55.41,Rupiah,Denar
Colombia,Peso,-5.7,5.32,6.59,8.228,6768.93,70.52,Krona,Birr
Philippines,Peso,-7.42,16.04,5.33,5.4201,5298.15,33.7,Peso,Yuan Renminbi
Albania,Lek,9.89,18.74,5.9,0.9886,6000.32,97.01,Ruble,Taka
China,Yuan Renminbi,-9.67,21.67,6.62,3.5711,1345.82,21.71,Yuan Renminbi,Denar
United States,Dollar,-1.0,7.49,1.59,0.3033,8013.29,8.04,Peso,Peso
Philippines,Peso,-1.44,2.93,18.25,8.3984,3806.58,51.9,Franc,Rand
Sweden,Krona,-6.34,22.86,4.12,7.3365,4195.01,61.51,Rupiah,Shilling
Palestinian Territory,Shekel,-7.85,24.25,6.91,8.2728,9818.02,25.78,Dollar,Zloty
Russia,Ruble,-6.22,2.75,6.87,8.3169,7073.14,45.03,Yuan Renminbi,Rupiah
China,Yuan Renminbi,-3.67,29.78,9.41,1.0388,2855.27,79.41,Rupiah,Rand
China,Yuan Renminbi,-2.96,5.91,2.28,9.9493,1777.22,34.41,Ruble,Ruble
Iran,Rial,-8.18,14.63,14.47,6.514,3.11,74.16,Kuna,Yuan Renminbi
Poland,Zloty,1.98,22.27,8.77,2.303,1641.37,77.33,Real,Franc
Indonesia,Rupiah,-3.65,4.51,17.29,2.2302,8184.54,67.2,Yuan Renminbi,Rial
Philippines,Peso,2.43,0.76,11.14,1.3556,5452.07,84.07,Real,Peso
Ukraine,Hryvnia,-6.05,8.24,14.16,4.817,2191.58,85.68,Yuan Renminbi,Yuan Renminbi
China,Yuan Renminbi,-7.71,2.52,2.74,3.6212,1889.75,18.0,Yuan Renminbi,Yuan Renminbi
China,Yuan Renminbi,-2.46,1.07,8.75,4.1939,1304.62,17.17,Yuan Renminbi,Rand
China,Yuan Renminbi,3.55,12.28,9.1,2.8427,1029.24,35.15,Euro,Dollar
China,Yuan Renminbi,-5.89,19.73,8.89,5.6723,834.29,3.36,Zloty,Rupiah
Armenia,Dram,-7.51,2.64,17.94,1.0009,502.53,82.87,Rial,Krona
China,Yuan Renminbi,-3.44,4.56,0.77,2.88,9757.1,12.54,Yen,Yuan Renminbi
China,Yuan Renminbi,-1.39,21.05,4.87,6.6458,3796.14,28.6,Yuan Renminbi,Euro
China,Yuan Renminbi,-9.33,2.25,15.22,9.9504,5286.39,42.64,Euro,Euro
Greece,Euro,3.79,2.31,19.89,4.2767,962.14,39.42,Yuan Renminbi,Real
China,Yuan Renminbi,-6.88,8.65,8.91,9.0551,9909.62,6.78,Ruble,Krona
China,Yuan Renminbi,-5.72,29.61,8.64,8.8171,9950.73,46.22,Yuan Renminbi,Dollar
United States,Dollar,6.31,7.21,13.86,7.8274,7299.43,85.01,Yuan Renminbi,Sol
Nigeria,Naira,-8.74,21.39,13.15,4.441,241.4,48.96,Zloty,Euro
Bulgaria,Lev,-8.05,21.78,1.24,9.0864,5628.77,49.75,Hryvnia,Rupee
China,Yuan Renminbi,1.88,15.93,15.7,1.4745,9439.52,66.79,Euro,Rupiah
China,Yuan Renminbi,-3.07,0.52,3.76,7.9164,7160.62,23.72,Euro,Euro
Egypt,Pound,-2.61,1.26,9.33,7.6172,8238.43,33.96,Baht,Baht
Kyrgyzstan,Som,6.26,0.71,7.36,6.5131,449.14,26.39,Kuna,Euro
Poland,Zloty,-0.79,16.86,10.69,6.2096,4903.73,18.07,Euro,Yuan Renminbi
Poland,Zloty,3.85,10.12,17.49,6.9406,2583.08,34.9,Rupiah,Dollar
France,Euro,-8.27,4.91,3.05,3.2539,6692.0,26.28,Zloty,Marka
China,Yuan Renminbi,5.24,25.49,8.3,4.6551,3961.02,57.3,Sol,Yuan Renminbi
Zambia,Kwacha,-7.84,28.17,17.5,8.1621,9481.47,57.08,Rupiah,Kuna
Macedonia,Denar,-5.77,14.82,5.81,7.9946,4386.87,38.74,Zloty,Rupee
Armenia,Dram,4.9,8.67,9.48,8.6111,8349.59,56.73,Koruna,Peso
Russia,Ruble,0.51,20.76,10.37,8.4975,8449.86,0.39,Yuan Renminbi,Peso
China,Yuan Renminbi,8.33,3.31,19.94,6.0537,2447.89,56.97,Rupiah,Krona
Brazil,Real,-3.65,23.4,5.69,1.2701,4468.31,32.19,Euro,Zloty
Portugal,Euro,-1.51,22.18,16.45,2.4906,909.96,77.27,Krona,Dollar
Portugal,Euro,-5.0,24.38,15.04,2.7646,5152.01,3.71,Dinar,Yuan Renminbi
Nigeria,Naira,-0.06,2.58,1.99,6.2625,3858.41,21.44,Litas,Krona
Russia,Ruble,3.91,24.57,6.09,8.3809,7813.48,49.35,Dram,Euro
United States,Dollar,6.5,13.19,16.38,3.0312,7286.02,13.12,Shekel,Dong
China,Yuan Renminbi,-5.87,20.23,16.07,1.2912,4746.06,5.53,Won,Ringgit
Russia,Ruble,6.75,18.05,6.03,9.8636,7428.44,97.21,Yuan Renminbi,Euro
Benin,Franc,-7.0,29.36,2.06,8.9877,2850.21,53.34,Dinar,Pound
China,Yuan Renminbi,0.73,16.25,10.26,1.4578,8105.98,98.7,Sol,Peso
Czech Republic,Koruna,-0.68,22.69,13.36,7.0075,5588.79,65.09,Yuan Renminbi,Rupiah
China,Yuan Renminbi,-1.25,11.64,12.81,3.549,6728.57,22.03,Euro,Rial
China,Yuan Renminbi,-4.48,1.46,19.26,5.1595,8259.67,84.44,Somoni,Euro
Czech Republic,Koruna,1.03,1.93,14.0,2.6272,4965.93,0.67,Euro,Yen
Dominican Republic,Peso,3.13,26.58,10.15,8.1248,9271.26,45.14,Yuan Renminbi,Ruble
Nigeria,Naira,-0.41,21.92,3.52,3.6879,2262.14,63.77,Yuan Renminbi,Yuan Renminbi
China,Yuan Renminbi,2.48,1.63,17.31,5.8901,1656.4,14.13,Zloty,Ruble
China,Yuan Renminbi,0.58,9.41,16.17,1.3219,9682.77,21.3,Dollar,Ruble
Chile,Peso,5.38,7.92,2.71,4.8437,4031.48,87.91,Yuan Renminbi,Peso
Afghanistan,Afghani,-9.07,23.41,5.05,6.7493,9780.73,24.06,Rupiah,Sol
China,Yuan Renminbi,-6.88,9.48,17.81,7.4544,5896.02,43.99,Kwacha,Krona
China,Yuan Renminbi,-5.64,16.08,18.49,9.4116,7197.56,2.39,Forint,Peso
Croatia,Kuna,9.45,3.32,15.52,8.7649,5615.44,77.18,Kuna,Peso
Kenya,Shilling,-1.69,12.07,16.07,3.8908,8848.58,90.93,Real,Rupee
Philippines,Peso,-9.67,29.32,4.43,2.0625,1515.61,30.85,Real,Real
China,Yuan Renminbi,3.54,0.83,17.06,4.0873,5462.74,22.65,Naira,Tenge
Argentina,Peso,5.56,22.61,8.35,9.8193,4585.8,65.38,Tenge,Peso
Mexico,Peso,2.63,2.61,7.18,4.1249,8215.92,6.58,Lek,Ruble
China,Yuan Renminbi,3.42,21.55,6.21,4.9571,5611.38,82.43,Yuan Renminbi,Rupiah
Colombia,Peso,-3.38,24.1,15.74,6.9073,2437.82,44.06,Hryvnia,Ruble
China,Yuan Renminbi,-5.28,16.08,17.03,0.5336,8042.64,78.62,Dollar,Ruble
China,Yuan Renminbi,7.3,23.53,9.85,8.062,8766.82,76.62,Real,Yuan Renminbi
China,Yuan Renminbi,-7.26,5.43,10.21,8.8106,9622.15,44.98,Euro,Krona
Argentina,Peso,8.82,27.31,19.29,0.211,3794.02,88.39,Yuan Renminbi,Dollar
United States,Dollar,6.24,25.23,15.53,9.4645,6874.1,18.15,Dollar,Peso
China,Yuan Renminbi,-9.48,25.75,4.26,2.707,1153.2,2.75,Euro,Ruble
Venezuela,Bolivar,0.86,6.03,6.5,4.8269,3388.28,60.28,Rupiah,Ringgit
Japan,Yen,3.57,26.19,4.87,3.8314,2736.34,11.52,Dollar,Euro
China,Yuan Renminbi,8.96,22.64,8.22,5.3294,239.92,40.48,Rupiah,Zloty
Republic of the Congo,Franc,-8.81,2.8,15.39,3.9893,6496.47,55.37,Rupiah,Rupiah
Indonesia,Rupiah,-8.15,0.17,15.83,8.3818,7175.81,87.77,Yuan Renminbi,Dollar
Peru,Sol,-1.3,6.54,9.88,4.1759,2190.92,2.97,Yuan Renminbi,Franc
Indonesia,Rupiah,8.75,7.82,14.69,0.0592,5979.57,49.25,Krona,Yuan Renminbi
China,Yuan Renminbi,7.86,20.36,10.91,7.0654,8281.53,75.36,Rupiah,Yuan Renminbi
Indonesia,Rupiah,-2.18,14.58,19.7,5.6806,6325.5,22.18,Euro,Rupiah
China,Yuan Renminbi,-3.94,6.57,8.46,9.9536,1385.94,91.71,Ruble,Yuan Renminbi
Dominican Republic,Peso,1.65,12.68,15.44,8.693,5781.54,66.72,Euro,Dollar
Philippines,Peso,-4.92,19.06,8.29,8.4916,9830.1,25.08,Naira,Dong
Philippines,Peso,8.34,18.26,16.29,9.8353,330.08,18.76,Rupiah,Yuan Renminbi
Russia,Ruble,9.43,6.83,1.4,4.7157,6966.78,87.67,Dollar,Quetzal
China,Yuan Renminbi,-6.25,29.31,4.61,4.8728,7407.22,0.94,Rufiyaa,Yuan Renminbi
Uzbekistan,Som,3.84,17.96,1.04,8.1895,4666.65,82.62,Rupiah,Real
Philippines,Peso,-8.43,17.73,19.85,5.6665,4872.39,8.7,Ngultrum,Peso
China,Yuan Renminbi,7.58,2.64,11.92,2.7255,9966.38,9.53,Rupiah,Real
Saudi Arabia,Rial,2.48,5.01,0.62,8.7927,1931.9,35.83,Yuan Renminbi,Real
Russia,Ruble,-0.03,27.34,3.41,2.236,4979.04,51.1,Franc,Yuan Renminbi
China,Yuan Renminbi,-1.62,6.82,19.29,9.4222,4768.06,54.41,Krone,Peso
China,Yuan Renminbi,-0.66,7.94,7.22,6.9155,8925.15,86.34,Yuan Renminbi,Euro
United States,Dollar,6.57,24.71,9.8,6.6605,690.04,26.41,Dirham,Rupiah
Vietnam,Dong,0.58,11.23,1.06,3.6833,5322.83,77.45,Real,Rupiah
Russia,Ruble,5.44,13.89,8.5,0.0464,9898.77,87.01,Zloty,Bolivar
Tanzania,Shilling,2.25,20.11,2.39,6.0694,9195.21,59.9,Yuan Renminbi,Rupiah
Czech Republic,Koruna,6.25,9.53,5.32,9.5959,4542.99,7.96,Lev,Euro
China,Yuan Renminbi,-9.7,5.75,16.55,9.9429,1038.13,74.96,Tenge,Rupee
Czech Republic,Koruna,4.17,21.83,16.66,3.2474,8191.46,72.54,Yuan Renminbi,Peso
Indonesia,Rupiah,9.63,17.35,7.48,9.6354,6510.45,12.31,Real,Krone
Indonesia,Rupiah,-8.47,23.7,18.92,4.9289,1109.78,68.83,Euro,Real
Mauritania,Ouguiya,7.44,25.05,2.51,7.821,2247.01,48.87,Dollar,Koruna
Philippines,Peso,7.55,24.51,16.68,1.1198,7372.85,98.37,Real,Dong
China,Yuan Renminbi,-6.41,9.27,0.1,2.1481,3451.86,84.85,Pound,Dollar
United States,Dollar,-7.61,8.11,3.97,9.523,906.43,90.53,Yen,Euro
Indonesia,Rupiah,7.52,11.33,18.82,2.4602,5607.59,30.31,Rupiah,Peso
Burkina Faso,Franc,-5.65,26.37,1.87,0.9705,40.33,88.44,Ruble,Hryvnia
Indonesia,Rupiah,-0.03,8.97,13.38,8.4534,7164.58,49.81,Pound,Yen
China,Yuan Renminbi,-2.71,8.13,0.68,2.7709,4937.8,30.18,Taka,Rupiah
Indonesia,Rupiah,3.18,17.51,16.36,2.6295,6201.4,73.0,Tenge,Dollar
Indonesia,Rupiah,7.76,0.07,16.86,9.1698,1513.94,66.68,Peso,Ruble
Liberia,Dollar,-2.18,29.76,11.46,3.1583,611.02,12.99,Real,Euro
Poland,Zloty,-1.21,0.85,14.41,4.5724,8103.76,82.75,Franc,Euro
Norway,Krone,6.53,11.88,11.54,7.0159,3443.85,94.73,Peso,Dong
Russia,Ruble,-9.42,29.24,9.57,8.4151,3885.63,94.76,Rupiah,Rupiah
Canada,Dollar,-1.84,15.02,9.51,4.9008,6407.51,80.69,Yuan Renminbi,Rial
China,Yuan Renminbi,3.13,20.35,10.38,2.0925,5965.1,61.55,Yuan Renminbi,Litas
Philippines,Peso,-2.25,8.57,9.03,5.0352,8753.51,57.46,Rial,Dirham
Russia,Ruble,-9.38,27.41,1.34,6.4009,4281.72,52.49,Ruble,Lev
Indonesia,Rupiah,-7.46,2.48,18.99,6.5552,9559.68,67.33,Naira,Zloty
Ukraine,Hryvnia,2.94,5.64,14.19,7.9258,8251.4,7.2,Dollar,Guarani
Malta,Euro,-4.5,28.08,7.19,6.6856,743.59,8.93,Peso,Yuan Renminbi
Indonesia,Rupiah,2.99,28.5,17.94,3.8631,9645.65,28.32,Euro,Dollar
China,Yuan Renminbi,2.8,9.9,6.1,4.9276,5592.31,87.53,Yuan Renminbi,Kuna
Peru,Sol,6.74,27.09,1.83,4.8263,5901.68,28.74,Hryvnia,Ruble
Brazil,Real,-6.18,25.23,0.62,4.1634,6668.54,79.08,Gourde,Shilling
Ukraine,Hryvnia,-8.59,16.01,7.22,0.7695,2778.65,27.9,Yen,Peso
Russia,Ruble,5.51,19.65,19.09,6.8589,4522.67,53.02,Krona,Yuan Renminbi
Egypt,Pound,-6.85,27.2,0.43,4.098,8330.21,88.7,Krona,Yuan Renminbi
Portugal,Euro,-6.82,12.08,14.32,0.5001,9978.33,95.9,Rupiah,Ruble
Peru,Sol,2.8,20.96,19.85,7.8468,2873.28,98.38,Dollar,Ruble
Ethiopia,Birr,-2.31,15.42,3.05,8.7023,9484.17,61.35,Yuan Renminbi,Krona
Thailand,Baht,-5.27,2.45,13.51,6.6401,3143.58,45.61,Tugrik,Yen
Uganda,Shilling,8.58,17.7,19.6,2.5699,1165.52,1.86,Quetzal,Zloty
Poland,Zloty,1.54,12.97,17.58,1.7371,3298.67,36.24,Yuan Renminbi,Yuan Renminbi
Poland,Zloty,-7.3,28.79,8.72,2.6072,8122.58,69.68,Rupiah,Euro
China,Yuan Renminbi,-0.45,21.5,13.35,1.1613,903.22,56.97,Yen,Ruble
Philippines,Peso,7.1,6.35,13.38,8.5833,3490.01,11.55,Euro,Real
Tanzania,Shilling,-5.97,21.68,13.37,1.0801,8143.98,90.54,Dong,Krona
Indonesia,Rupiah,8.67,28.75,18.38,3.8816,8845.93,12.77,Yen,Rupiah
Afghanistan,Afghani,5.09,24.25,11.28,7.3578,9534.96,9.64,Yuan Renminbi,Rupiah
Argentina,Peso,-1.54,10.96,17.31,4.4274,7628.72,0.49,Lev,Yuan Renminbi
China,Yuan Renminbi,-6.68,17.32,2.85,6.1543,5430.97,32.92,Yuan Renminbi,Dollar
Indonesia,Rupiah,6.98,6.21,2.11,9.5967,3657.95,91.42,Yuan Renminbi,Dirham
Tanzania,Shilling,5.63,3.1,10.25,9.7971,853.7,87.67,Peso,Koruna
Germany,Euro,-1.99,20.56,5.77,7.0733,6459.38,13.89,Yuan Renminbi,Ruble
Czech Republic,Koruna,8.83,18.31,11.77,6.3832,7170.23,73.8,Dollar,Dollar
France,Euro,-3.79,14.7,12.15,6.3793,8636.17,33.19,Boliviano,Rupiah
China,Yuan Renminbi,9.0,17.13,16.8,4.5706,2298.95,72.35,Rupiah,Ruble
Russia,Ruble,-3.82,0.29,10.06,9.0124,6566.17,23.76,Yuan Renminbi,Dollar
China,Yuan Renminbi,-8.59,15.34,18.11,7.6425,8757.22,71.3,Franc,Euro
Czech Republic,Koruna,-3.93,20.95,19.03,4.0904,741.51,89.05,Pound,Euro
Indonesia,Rupiah,-6.03,5.49,15.07,9.1144,2475.0,87.42,Ringgit,Dollar
South Africa,Rand,7.04,4.23,1.08,3.2515,9894.54,0.7,Yen,Franc
Mexico,Peso,1.12,4.72,11.29,0.3651,3919.95,83.88,Yuan Renminbi,Baht
Japan,Yen,-6.67,0.09,14.41,7.1612,6884.4,92.6,Peso,Euro
Brazil,Real,-6.54,24.79,2.62,2.4697,2037.55,46.55,Dollar,Euro
France,Euro,9.14,1.97,15.66,4.6414,799.53,49.21,Euro,Euro
Moldova,Leu,-7.28,13.67,12.35,8.8401,5930.97,99.57,Euro,Yuan Renminbi
China,Yuan Renminbi,5.35,20.08,1.65,2.8572,6140.69,59.0,Rupiah,Rupiah
Indonesia,Rupiah,6.2,10.14,13.48,7.9308,1672.27,27.83,Zloty,Rial
China,Yuan Renminbi,1.09,27.89,15.99,7.5346,9674.44,0.27,Yuan Renminbi,Euro
Ivory Coast,Franc,-6.39,17.85,3.9,4.1436,7180.84,84.0,Euro,Dram
